크롤링시간,지역,가게이름,아이디,몇시간전,주문내용,댓글,맛,양,배달,사장,사진주소
2021년 11월 3일,서초동,컬투치킨-서초1호점,nu**님,2021년 11월 3일,매후라치킨/1(치킨 종류 추가 선택(순살 변경)),맛있어요 감사합니다,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/39f3131ab1e7f19c31f22b743ca83ae7_tn.jpg
2021년 11월 2일,서초동,컬투치킨-서초1호점,rl**님,2021년 11월 2일,"매후라치킨/1(치킨 종류 추가 선택(순살 변경),추가 선택(치킨무 추가))",맛있게 잘 먹었습니다~,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/92ebd48be53351b5ea5f3777d203810c_tn.jpg
2021년 11월 2일,서초동,컬투치킨-서초1호점,of**님,2021년 11월 2일,매후라치킨/1(치킨 종류 추가 선택(변경 안함)),항상 꿀맛입니다 ~ 갓성비최고,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/8f4ebdd5e0fe22f98488da18d4d582a9_tn.jpg
2021년 11월 1일,서초동,컬투치킨-서초1호점,vk**님,2021년 11월 1일,간장마요치킨/1(치킨 종류 추가 선택(변경 안함)),묵을 만 하네ㅋㅋㅋ,4,4,4,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/7cdc18b393e88810221aca63030dd19c_tn.jpg
2021년 11월 1일,서초동,컬투치킨-서초1호점,kw**님,2021년 11월 1일,"매후라치킨/1(치킨 종류 추가 선택(순살 변경),음료 추가 선택(음료 사이즈업（1.25 변경）))",맛있게 잘 먹었습니다~ 배달 문지가 살짝 있었는데 바로 대처해주셔서 감사합니다!!,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 11월 1일,서초동,컬투치킨-서초1호점,pr**님,2021년 11월 1일,마후라치킨/1(치킨 종류 추가 선택(순살 변경)),맛있게 잘 먹었습니다 추천요~~~,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/1444e8ac219c1317c0711a651ccef8df_tn.jpg
2021년 10월 31일,서초동,컬투치킨-서초1호점,ab**님,2021년 10월 31일,마후라치킨/1(치킨 종류 추가 선택(순살 변경)),배달 빠르고 바삭바삭 맛있어요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/cba07a3d6980c450acb1249f6071fe81_tn.jpg
2021년 10월 31일,서초동,컬투치킨-서초1호점,57**님,2021년 10월 31일,매후라치킨/1(치킨 종류 추가 선택(변경 안함)),따뜻하게 잘먹었습니다!!!,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 31일,서초동,컬투치킨-서초1호점,la**님,2021년 10월 31일,컬투치킨/1(치킨 종류 추가 선택(변경 안함)),치밥딱먹기좋아요 맛나요,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 31일,서초동,컬투치킨-서초1호점,me**님,2021년 10월 31일,칠리새우탕수치킨/1(치킨 종류 추가 선택(순살 변경)),맛있게 잘먹었습니다,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/417ca4e2f63b58c4662510c1bd5bafb1_tn.jpg
2021년 10월 31일,서초동,컬투치킨-서초1호점,jh**님,2021년 10월 31일,매후라치킨/1(치킨 종류 추가 선택(변경 안함)),매주 시켜먹는데 너무 맛있어요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/be887eef0cc2c1118a9dcf0dfcca12d6_tn.jpg
2021년 10월 31일,서초동,컬투치킨-서초1호점,jh**님,2021년 10월 31일,매후라양념치킨/1(치킨 종류 추가 선택(변경 안함)),매주 시켜먹는데 너무 맛있어요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/139b315deed9dc45ee42525491938109_tn.jpg
2021년 10월 31일,서초동,컬투치킨-서초1호점,su**님,2021년 10월 31일,"간장마요치킨/1(치킨 종류 추가 선택(변경 안함)),양념소스/1",맛있게 먹었습니다.,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/d9bbe5d7864076eb9e917911729d48be_tn.jpg
2021년 10월 31일,서초동,컬투치킨-서초1호점,se**님,2021년 10월 31일,"안녕핫새우/1(부위변경(뼈),새우 선택(기본（새우7개）))",생각보다 매워서 매운거 못먹으면 별로일수있지만 맛은 있다,4,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/06dabeb409d4edb2bab2a47aecd5f791_tn.jpg
2021년 10월 31일,서초동,컬투치킨-서초1호점,dn**님,2021년 10월 31일,매후라치킨/1(치킨 종류 추가 선택(변경 안함)),주문이많은지 오래 기다리긴했지만 바삭하고 따뜻해서 맛있게 잘먹었습니다~같이오는 소스는 은근맵네요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/7db7f928bb6a681967b0f66564d559ac_tn.jpg
2021년 10월 31일,서초동,컬투치킨-서초1호점,vo**님,2021년 10월 31일,매후라치킨/1(치킨 종류 추가 선택(순살 변경)),맛남 ㅎㅎㅎ 가성비 굿굿,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 30일,서초동,컬투치킨-서초1호점,ji**님,2021년 10월 30일,메후라반반치킨/1(치킨 종류 추가 선택(변경 안함)),으에 보자마자 흥분해서 먹느라 먹다 찍은 사진 ㅎ..매후라 반반시켰는데 매후라만 시켰을 때 처럼 안매콤해요 ㅠ,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/12d6b404b62d22a69e8e70d2eaff21f5_tn.jpg
2021년 10월 30일,서초동,컬투치킨-서초1호점,go**님,2021년 10월 30일,"매후라치킨/1(치킨 종류 추가 선택(변경 안함),추가 선택(떡볶이 추가))",치킨은 좋은데 떡볶이는 비추에요 ㅜㅜ,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/4a43f2dfc46af4cb0a47e518e1ec87af_tn.jpg
2021년 10월 30일,서초동,컬투치킨-서초1호점,mo**님,2021년 10월 30일,마후라치킨/1(치킨 종류 추가 선택(변경 안함)),항상  믿고  주문할수 있네요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/073e3624333c20e03912f8238cc5675c_tn.jpg
2021년 10월 30일,서초동,컬투치킨-서초1호점,hj**님,2021년 10월 30일,"세트1（치킨 반＋탕수육 반）/1(치킨 종류 추가 선택(순살 변경),치킨 선택(매후라치킨),탕수육 선택(오리지널탕수육))",오 맛있어요 탕수육은 약간고기튀김같은?? 전집에서 간장찍어먹었어요 치킨은 파*이스 휠레같은맛이었고 크기도크고 맛있어요 리뷰이벤트로주신것도 퀄이 넘좋구요 양도넉넉하고 여러가지맛볼수있어 넘좋아요 또시킬께요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/698817350735ddfcd4e5cdd3fc93b7e8_tn.jpg
2021년 10월 30일,서초동,컬투치킨-서초1호점,hy**님,2021년 10월 30일,메후라반반치킨/1(치킨 종류 추가 선택(변경 안함)),잘 먹겠습니다! 양이 참 푸짐하네요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/b68a39d8c4f46576a6a97404309cf90d_tn.jpg
2021년 10월 30일,서초동,컬투치킨-서초1호점,gu**님,2021년 10월 30일,메후라반반치킨/1(치킨 종류 추가 선택(순살 변경)),맛있게 잘먹었습니다,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 30일,서초동,컬투치킨-서초1호점,to**님,2021년 10월 30일,"매후라치킨/1(치킨 종류 추가 선택(변경 안함),음료 추가 선택(음료 사이즈업（1.25 변경）))",컬투치킨은 처음 먹어보는데 되게 맛있네요! 같이 동봉돼오는 양념소스가 생각보다 매워서 신기했어요. 다른 브랜드에 비해 특색있다는 느낌이 들었네요. 서비스로 주신 치즈볼 두개도 너무 감사해요❤️,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/8b38ae3038bc58cdf37ea82d3daaa31a_tn.jpg
2021년 10월 30일,서초동,컬투치킨-서초1호점,fo**님,2021년 10월 30일,마후라반반치킨/1(치킨 종류 추가 선택(순살 변경)),맛있습니다. 주말에 맛있는거 먹네요!,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/11ce2705dd6bcc98fbcae9be96a358b8_tn.jpg
2021년 10월 30일,서초동,컬투치킨-서초1호점,dh**님,2021년 10월 30일,"어니언크림새우치킨/1(치킨 종류 추가 선택(순살 변경)),파채＋소스/1,치킨무/1",정말너무맛있어요또 시킬께요~,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/633143baf8f25e4f0e88d03750926403_tn.jpg
2021년 10월 30일,서초동,컬투치킨-서초1호점,ju**님,2021년 10월 30일,마후라치킨/1(치킨 종류 추가 선택(변경 안함)),마후라가 제일 맛있네요 굿,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/7c4fbad7c913cc1273f79ff0154a291b_tn.jpg
2021년 10월 30일,서초동,컬투치킨-서초1호점,rk**님,2021년 10월 30일,컬투치킨/1(치킨 종류 추가 선택(변경 안함)),맛있게 잘먹었습니다.,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/17cb96c1553015bef9604381da9bd1f5_tn.jpg
2021년 10월 30일,서초동,컬투치킨-서초1호점,do**님,2021년 10월 30일,컬투치킨/1(치킨 종류 추가 선택(순살 변경)),마늘과 간장 파 고추 다채로운 향이에요 치킨의 느끼함을 잘잡아주는 맛이에요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/c695cdc94a9773ee91f5abd7426764ad_tn.jpg
2021년 10월 29일,서초동,컬투치킨-서초1호점,gu**님,2021년 10월 29일,"안녕핫새우＋케이준감자/1(부위변경(순살변경),새우 선택(더블（새우15개）))",맵찔이 인데 다 먹어버렸음 잘먹었습니당,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/ad79f32c1ff68c09ca33d1be8761f0df_tn.jpg
2021년 10월 29일,서초동,컬투치킨-서초1호점,1w**님,2021년 10월 29일,"간장마요치킨/1(치킨 종류 추가 선택(변경 안함)),콜라 1.25L/1",🧞‍♂️🧞‍♂️🧞‍♂️🧞‍♂️🧞‍♂️🧞‍♂️🧞‍♂️🧞‍♂️🧞‍♂️🧞‍♂️,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/5c8fd7260a6b19264c5e732653c64a13_tn.jpg
2021년 10월 29일,서초동,컬투치킨-서초1호점,1w**님,2021년 10월 29일,간장마요치킨/1(치킨 종류 추가 선택(변경 안함)),진자 여태 먹어본 치킨중에 젤맛잇어요🧞‍♂️🧞‍♂️🧞‍♂️🧞‍♂️🧞‍♂️🧞‍♂️🧞‍♂️🧞‍♂️🧞‍♂️🧞‍♂️🧞‍♂️🧞‍♂️,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/3ecc58b2ae58f906558f492b80654601_tn.jpg
2021년 10월 28일,서초동,컬투치킨-서초1호점,vy**님,2021년 10월 28일,"감자바사삭치킨＋치즈볼（5개）/1(치킨 종류 추가 선택(순살 변경),맛 선택(마일드（마후라）),부위변경(뼈))",살이 엄청 부드러워요,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 28일,서초동,컬투치킨-서초1호점,ji**님,2021년 10월 28일,"안녕핫새우＋케이준감자/1(부위변경(순살변경),새우 선택(기본（새우7개）))",너무 맛있게 잘먹었습니다~ 항상 맛있어요~~ 먹다 찍었네요ㅠ,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/e1479bad5a5495b976b89e625d1b2fb7_tn.jpg
2021년 10월 28일,서초동,컬투치킨-서초1호점,hy**님,2021년 10월 28일,메후라반반치킨/1(치킨 종류 추가 선택(순살 변경)),옛날양념통닭맛이네요!! 이거찾아 오만집 다뒤졌는데 이제서야발견하다니ㅎㅎ앞으로 쭉시킬게용,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/5730dca93a04eeb6af118649ac889522_tn.jpg
2021년 10월 27일,서초동,컬투치킨-서초1호점,is**님,2021년 10월 27일,마후라치킨/1(치킨 종류 추가 선택(순살 변경)),가격도 저렴한데다 맛은 최고입니다 ㅠㅠㅠ케이준감자튀김도 바삭하니 정말 맛있게 먹었어요!! 번창하세요👍👍,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/fd4b01a74d38ea0d1303653bf8a1cab1_tn.jpg
2021년 10월 27일,서초동,컬투치킨-서초1호점,se**님,2021년 10월 27일,감자바사삭치킨/1,감튀 크고 치킨 맛있어요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/14f7f5661efd702c7bbe9dbb861fc2a3_tn.jpg
2021년 10월 27일,서초동,컬투치킨-서초1호점,sa**님,2021년 10월 27일,매후라치킨/1(치킨 종류 추가 선택(순살 변경)),바삭하고 정말 맛있어요~,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/855efbc1f98ab82f2a3ed516ca90554c_tn.jpg
2021년 10월 27일,서초동,컬투치킨-서초1호점,st**님,2021년 10월 27일,매후라치킨/1(치킨 종류 추가 선택(순살 변경)),처음 주문해 봤는데 정말 맛있어요 단골해야겠네요 잘 먹었습니다♡,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/99e4d1f28738800e6775a90b7b3c8091_tn.jpg
2021년 10월 26일,서초동,컬투치킨-서초1호점,rn**님,2021년 10월 26일,"세트1（치킨 반＋탕수육 반）/1(치킨 종류 추가 선택(변경 안함),치킨 선택(마후라치킨),탕수육 선택(오리지널탕수육),추가 선택(양념소스 추가))",맛있어요 또먹고싶어요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/1f00d5e719c654f70e209990aa22e726_tn.jpg
