크롤링시간,지역,가게이름,아이디,몇시간전,주문내용,댓글,맛,양,배달,사장,사진주소
2020년 9월 2일,서초동,페리카나-서초동점,ch**님,2020년 9월 2일,"반반（후라이드 반＋양념 반）/1(치킨 선택(뼈있는 치킨),사이드 추가 선택(양념소스추가))",너무맛있어서 처음 사진을 못찍었네요 양념도 많고 역시 페리카나,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/2afb443ac4f1b8fe775c164a07f24cd2_tn.jpg
2020년 9월 1일,서초동,페리카나-서초동점,gy**님,2020년 9월 1일,반반（후라이드 반＋양념 반）/1(치킨 선택(뼈있는 치킨)),튀김 바삭하고 맛있어요,4,4,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/632464f6c9124428c261dacfbfebd446_tn.jpg
2020년 8월 31일,서초동,페리카나-서초동점,   손님,2020년 8월 31일,"양념 치킨/1(사이드 추가 선택(무 추가,양념소스추가))",맛있어요!!!!!!!,3,2,4,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 8월 30일,서초동,페리카나-서초동점,vu**님,2020년 8월 30일,"후라이드 치킨/1,양념 치킨/1",맛은 보장 다만 배달이 조금 느려요ㅠ,5,4,4,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 8월 25일,서초동,페리카나-서초동점,dl**님,2020년 8월 25일,반반（후라이드 반＋양념 반）/1(치킨 선택(순살 치킨)),맛있게 잘먹었습니다~^-^,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 8월 24일,서초동,페리카나-서초동점,cz**님,2020년 8월 24일,다리＋날개/2(다리＋날개 소스 선택(후라이드)),맛있게 잘 먹었습니다,4,4,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/5ad990109b862df2c63f0839cd549778_tn.jpg
2020년 8월 22일,서초동,페리카나-서초동점,sb**님,2020년 8월 22일,순살마늘 치킨/1(사이드 추가 선택(콜라 500mL 변경)),맛있어여! 다음에 또 시킬게여,4,4,5,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 8월 21일,서초동,페리카나-서초동점,sa**님,2020년 8월 21일,반반（후라이드 반＋양념 반）/1(치킨 선택(순살 치킨)),평소보다 치킨살이 많이 뻑뻑했어요. 서초점이 제일 맛있어서 매번 여기서 주문했었는데요. 이번엔 평소보다 뻑뻑하고 튀김도 두껍고 별로였네요.,3,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 8월 20일,서초동,페리카나-서초동점,   손님,2020년 8월 20일,"반반（후라이드 반＋양념 반）/1(치킨 선택(뼈있는 치킨),사이드 추가 선택(무 추가))","바싹하고 부드러운 육질만족합니다,다시먹고싶은 치킨이네요^^",5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 8월 17일,서초동,페리카나-서초동점,cf**님,2020년 8월 17일,"후라이드 치킨/1,골뱅이무침＋소면/1,생맥주 1000cc/1",주문 요청사항 안보고 음식 만들어서 배달하나요??,1,1,1,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 8월 14일,서초동,페리카나-서초동점,go**님,2020년 8월 14일,반반（후라이드 반＋양념 반）/1(치킨 선택(뼈있는 치킨)),맛잇게 잘먹었습니다 덕분에 배부르게 지내여,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 8월 11일,서초동,페리카나-서초동점,tn**님,2020년 8월 11일,1세트（순살양념＋순살후라이드＋콜라 1.25L）/1(사이드 추가 선택(콜라 1.25L 변경)),전화부탁드렸는데 전화도 안주시고 문자만 보내셔서 식어서 먹었네요순살도 다 가슴살이네요,3,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 8월 8일,서초동,페리카나-서초동점,ch**님,2020년 8월 8일,순살후라이드 치킨/1(사이드 추가 선택(콜라 500mL 변경)),저번이 시켜먹고 맛있어서 다시 시켜먹어요.단골이될것 같습니다~^^,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 8월 7일,서초동,페리카나-서초동점,cz**님,2020년 8월 7일,"다리＋날개/1(다리＋날개 소스 선택(후라이드)),양념치킨（싱글）/1",맛있게 잘 먹었습니다,4,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/033bf127829b319cf170ca061a3263e2_tn.jpg
2020년 8월 7일,서초동,페리카나-서초동점,sa**님,2020년 8월 7일,"순살양념 치킨/1(사이드 추가 선택(무 추가,콜라 500mL 변경))",배달 조금 늦었지만 비오는 날 고생많으셨습니다. 맛있게 먹었어요,5,5,4,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 8월 5일,서초동,페리카나-서초동점,mi**님,2020년 8월 5일,2세트（순살떡양념＋순살후라이드＋콜라 1.25L）/1,맛있어요~~! 치밥까지했어요 ㅎㅎ,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/00511df0f03a7ff4c6d4f1498ec6d987_tn.jpg
2020년 8월 5일,서초동,페리카나-서초동점,ns**님,2020년 8월 5일,B세트（후라이드＋양념치킨＋콜라 1.25L）/1,맛있어요. 양은 좀 적네요.,4,5,4,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 8월 5일,서초동,페리카나-서초동점,jk**님,2020년 8월 5일,순살양념 치킨/1,맛있게 잘먹었습니다,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/5e2b7edc153966314f4e0afbeccb775b_tn.jpg
