크롤링시간,지역,가게이름,아이디,몇시간전,주문내용,댓글,맛,양,배달,사장,사진주소
2021년 9월 21일,권선동,교촌치킨-매교점,wo**님,2021년 9월 21일,교촌허니콤보/1,맛있어요 ^^ 멀지만 여기서만 시켜요,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 21일,권선동,교촌치킨-매교점,il**님,2021년 9월 21일,교촌콤보/1,"역시 교촌, 믿고먹는 맛~",5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/d2fb895ba5cea56b576ae200f659d541_tn.jpg
2021년 9월 21일,권선동,교촌치킨-매교점,   손님,2021년 9월 21일,교촌허니콤보/1(사이드 메뉴(선택안함)),배달이 진짜 늦게와요,4,4,1,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 20일,권선동,교촌치킨-매교점,za**님,2021년 9월 20일,"교촌오리지날/1,교촌레드순살[S]/1",좀 느끼해요 …………,4,4,4,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 20일,권선동,교촌치킨-매교점,a3**님,2021년 9월 20일,교촌허니콤보/1(사이드 메뉴(교촌칠리포테이토)),맛있습니당! 웨지감자로 착각하고 칠리감튀를 실수로 시킨건데 맛있네여!! 감튀 좋아하면 칠리감튀도 도전해보세요~,5,5,4,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/86d4056b6837b202fff6a56d382ea4a5_tn.jpg
2021년 9월 20일,권선동,교촌치킨-매교점,ye**님,2021년 9월 20일,교촌리얼후라이드/1(디핑소스 추가(교촌스위트칠리소스)),교촌에서 매일 레허반반만 먹었는디 후라이드가 이렇게 맛있었는지 처음 알았네요ㅎ,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 19일,권선동,교촌치킨-매교점,ji**님,2021년 9월 19일,"교촌허니콤보/1,교촌퐁듀치즈볼/1",배달도 빠르고 맛잇습니다.,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/f65ae9e04908fc3ec2302b4088c59831_tn.jpg
2021년 9월 19일,권선동,교촌치킨-매교점,tp**님,2021년 9월 19일,교촌허니콤보/1(디핑소스 추가(레드디핑소스)),맛있습니다!!!교촌,5,4,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 19일,권선동,교촌치킨-매교점,sh**님,2021년 9월 19일,교촌콤보/1(사이드 메뉴(선택안함)),교촌콤보가 아니라 허니콤보 시킨다는게배고파서 제대로 안봤나봐요양이 작아서 다먹었네요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/ffa53f03265ccf7c40b51156dc925275_tn.jpg
2021년 9월 19일,권선동,교촌치킨-매교점,04**님,2021년 9월 19일,교촌허니콤보/1(사이드 메뉴(선택안함)),너모 맛잇어요 정신차리닌까 다 먹었네요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/758fb838f607a6cfd9cb035b4ae0f942_tn.jpg
2021년 9월 19일,권선동,교촌치킨-매교점,ka**님,2021년 9월 19일,"교촌허니순살[R]/1(사이드 메뉴(교촌마라떡볶이),디핑소스 추가(교촌허니갈릭소스))",맛있게 잘 시켜먹었습니다.근데 마라떡볶이이서 초파리한마리가 나왔어요..ㅠㅠ,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 18일,권선동,교촌치킨-매교점,so**님,2021년 9월 18일,교촌레드순살[R]/1(사이드 메뉴(선택안함)),맛있게 잘먹었어요~~,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/88a455fe40076039430d46b677a09d87_tn.jpg
2021년 9월 16일,권선동,교촌치킨-매교점,ju**님,2021년 9월 16일,"교촌허니콤보/1,교촌웨지감자/1,코카콜라（1.25L）/1",맛있습니다 잘먹겠습니다,5,3,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 16일,권선동,교촌치킨-매교점,dk**님,2021년 9월 16일,"교촌허니콤보/1,교촌웨지감자/1,교촌레드순살[S]/1,코카콜라（1.25L）/1",진짜 진짜 너무너무 맛있었습니다,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/2b83e3d45ff10df952b09c71da57baf0_tn.jpg
2021년 9월 15일,권선동,교촌치킨-매교점,ju**님,2021년 9월 15일,"교촌치즈트러플순살/1,교촌허니콤보/1",배달도 예상시간보다 빨리오고 맛도 있네요,5,4,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/727940155823235967bc55904a3740ce_tn.jpg
2021년 9월 15일,권선동,교촌치킨-매교점,dl**님,2021년 9월 15일,교촌허니콤보/1,정말맞있어요 내취향입니다,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/b393e0354426bd09c17a395748e41e8a_tn.jpg
2021년 9월 14일,권선동,교촌치킨-매교점,db**님,2021년 9월 14일,교촌허니콤보/1,역시 실패없는 허니콤보,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 13일,권선동,교촌치킨-매교점,nk**님,2021년 9월 13일,교촌콤보/1,맛있습니다~빠른 배달,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/bc1fe59da4807fce5d8b668587c2509f_tn.jpg
2021년 9월 13일,권선동,교촌치킨-매교점,wl**님,2021년 9월 13일,"교촌레허반반순살/1(사이드 메뉴(교촌닭갈비볶음밥（매운맛）),디핑소스 추가(교촌잠발라야소스))",맛잇어요! 잘먹엇습니당,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 13일,권선동,교촌치킨-매교점,mo**님,2021년 9월 13일,"교촌윙/1,교촌레드윙/1",맛있어요. 또주문할께요.,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 11일,권선동,교촌치킨-매교점,pj**님,2021년 9월 11일,교촌허니오리지날/1,양도 많고 맛나게 잘먹었어요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/6e34921a80bb30749ea15a04853c645c_tn.jpg
2021년 9월 11일,권선동,교촌치킨-매교점,ra**님,2021년 9월 11일,교촌반반윙/1(사이드 메뉴(선택안함)),맛있게 잘 먹었네요,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 10일,권선동,교촌치킨-매교점,dk**님,2021년 9월 10일,교촌레드콤보/1,ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 9일,권선동,교촌치킨-매교점,yo**님,2021년 9월 9일,교촌반반콤보/1,배달예정시간보다17 분더 늦게왔네요 치킨이 미지근해요ㅡㅡ,5,5,1,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/8e25407df7fa21e2a94f003946e80b81_tn.jpg
2021년 9월 9일,권선동,교촌치킨-매교점,dh**님,2021년 9월 9일,교촌레허반반순살/1,유ㆍ와  너무맛나여  짱,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 9일,권선동,교촌치킨-매교점,ta**님,2021년 9월 9일,교촌순살[R]/1(사이드 메뉴(교촌칠리포테이토)),교촌순살은 순살이라 먹기는 편한데 기름이 덜 빠졌는지 느끼한점이 아쉽네요.칠리포테이토는  맛있게 잘 먹었습니다,3,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/2427f881fdaeb2b6efdc6a919732a7b5_tn.jpg
2021년 9월 8일,권선동,교촌치킨-매교점,ch**님,2021년 9월 8일,교촌허니콤보/1(사이드 메뉴(선택안함)),맛있어요용요요요요요,4,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
